sub_period,model,k,n_days,day_ret,ann_ret,ann_vol,sharpe,max_drawdown,total_ret
extended,ENS1,10,2196,0.00054928,0.104648,0.275158,0.3803,-0.267115,1.397051
extended,ENS1,50,2196,0.00040346,0.088623,0.178762,0.4958,-0.229625,1.10829
extended,ENS1,100,2196,0.00035069,0.079602,0.14875,0.5351,-0.233806,0.959693
extended,ENS1,150,2196,0.00028166,0.064523,0.125596,0.5137,-0.201872,0.731925
extended,ENS1,200,2196,0.00021422,0.049287,0.10436,0.4723,-0.170152,0.525927
extended,ENS2,10,2196,7.325e-05,-0.01154,0.244142,-0.0473,-0.443298,-0.096935
extended,ENS2,50,2196,0.00029097,0.060104,0.169595,0.3544,-0.247391,0.669788
extended,ENS2,100,2196,0.00023812,0.051033,0.13968,0.3654,-0.211076,0.548379
extended,ENS2,150,2196,0.00016244,0.034176,0.118318,0.2888,-0.220168,0.343372
extended,ENS2,200,2196,0.00012689,0.027193,0.098895,0.275,-0.176827,0.265759
extended,ENS3,10,2196,0.00038732,0.065488,0.25896,0.2529,-0.318522,0.745773
extended,ENS3,50,2196,0.00031733,0.065698,0.177279,0.3706,-0.221968,0.748799
extended,ENS3,100,2196,0.00026406,0.056525,0.14842,0.3808,-0.236557,0.620919
extended,ENS3,150,2196,0.00024339,0.054595,0.123966,0.4404,-0.200372,0.595089
extended,ENS3,200,2196,0.00020808,0.047746,0.103734,0.4603,-0.165007,0.506358
extended,DNN,10,2196,0.00035951,0.038623,0.321439,0.1202,-0.544656,0.394972
extended,DNN,50,2196,0.0001498,0.018139,0.197356,0.0919,-0.337581,0.171055
extended,DNN,100,2196,0.00013735,0.0227,0.154229,0.1472,-0.310428,0.217945
extended,DNN,150,2196,0.00011345,0.020342,0.128245,0.1586,-0.277202,0.193501
extended,DNN,200,2196,7.646e-05,0.013491,0.106883,0.1262,-0.266526,0.124924
extended,GBT,10,2196,0.00076937,0.170912,0.263448,0.6488,-0.364578,2.998699
extended,GBT,50,2196,0.00048707,0.113042,0.171339,0.6598,-0.220703,1.561875
extended,GBT,100,2196,0.00039082,0.092205,0.137906,0.6686,-0.184484,1.17002
extended,GBT,150,2196,0.00030658,0.072632,0.114328,0.6353,-0.169639,0.851311
extended,GBT,200,2196,0.00025252,0.060406,0.094674,0.638,-0.145549,0.673973
extended,RAF,10,2196,-0.00018495,-0.06929,0.225709,-0.307,-0.544943,-0.467812
extended,RAF,50,2196,0.00028247,0.059498,0.160127,0.3716,-0.261875,0.661422
extended,RAF,100,2196,0.00018772,0.039015,0.131633,0.2964,-0.266467,0.399612
extended,RAF,150,2196,9.123e-05,0.01677,0.11113,0.1509,-0.237886,0.1573
extended,RAF,200,2196,6.197e-05,0.011191,0.093423,0.1198,-0.190709,0.102695
