metric,our_pre_tc,our_post_tc,paper_pre_tc,paper_post_tc
Mean return (long),0.001578,0.001578,0.003,0.002
Mean return (short),-0.000369,-0.000369,-0.0013,-0.0003
Mean return,0.001947,-5.3e-05,0.0043,0.0023
Std error (NW),0.0002,0.0002,0.0003,0.0003
t-statistic (NW),9.7269,-0.2632,14.9327,7.9104
Minimum,-0.1762,-0.1782,-0.1622,-0.1642
Quartile 1,-0.0061,-0.0081,-0.0053,-0.0073
Median,0.0016,-0.0004,0.0033,0.0013
Quartile 3,0.0097,0.0077,0.0127,0.0107
Maximum,0.2153,0.2133,0.3754,0.3734
Standard deviation,0.0176,0.0176,0.0208,0.0208
Skewness,0.2831,0.2831,1.7283,1.7283
Kurtosis,12.7815,12.7815,29.8174,29.8174
Hist 1% VaR,-0.0477,-0.0497,-0.0508,-0.0528
Hist 1% CVaR,-0.0696,-0.0716,-0.0721,-0.0741
Hist 5% VaR,-0.0221,-0.0241,-0.0229,-0.0249
Hist 5% CVaR,-0.0382,-0.0402,-0.0406,-0.0426
Maximum drawdown,-0.5449,-0.9999,-0.3454,-0.6689
Calmar ratio,1.1611,-0.0132,5.1033,1.0037
Share with return > 0,0.551,0.483,0.6028,0.5423
