model,variable,coef,se,t,pval,sig
FF3,Intercept,0.0015,0.0003,5.3587,0.0,***
FF3,MktRF,-0.0039,0.0437,-0.0895,0.9287,
FF3,SMB,-0.0297,0.0678,-0.4382,0.6612,
FF3,HML,0.1801,0.0981,1.8349,0.0665,
FF3+2,Intercept,0.0015,0.0003,4.8883,0.0,***
FF3+2,MktRF,-0.0416,0.0423,-0.9824,0.3259,
FF3+2,SMB,-0.0302,0.0679,-0.4447,0.6565,
FF3+2,HML,0.1885,0.0994,1.8965,0.0579,
FF3+2,Mom,-0.02,0.0595,-0.3365,0.7365,
FF3+2,Rev,0.1316,0.0693,1.8996,0.0575,
FF5,Intercept,0.0015,0.0003,5.3362,0.0,***
FF5,MktRF,-0.0085,0.0486,-0.1753,0.8608,
FF5,SMB5,-0.0028,0.0724,-0.0381,0.9696,
FF5,HML5,0.2243,0.1251,1.7931,0.073,
FF5,RMW5,0.0671,0.1038,0.6457,0.5185,
FF5,CMA5,-0.1361,0.1564,-0.8701,0.3842,
FF_VIX,Intercept,0.0013,0.0003,4.8846,0.0,***
FF_VIX,MktRF,-0.0364,0.0429,-0.8496,0.3955,
FF_VIX,SMB,-0.0267,0.0679,-0.3929,0.6944,
FF_VIX,HML,0.1929,0.0995,1.9391,0.0525,
FF_VIX,Mom,-0.017,0.059,-0.2879,0.7734,
FF_VIX,Rev,0.1282,0.0694,1.848,0.0646,
FF_VIX,VIX_dummy,0.0018,0.0019,0.9561,0.339,
