period,train_start,train_end,test_start,test_end
1,1990-12-11,1992-12-15,1992-12-16,1993-12-10
2,1991-12-06,1993-12-10,1993-12-13,1994-12-07
3,1992-12-02,1994-12-07,1994-12-08,1995-12-04
4,1993-11-29,1995-12-04,1995-12-05,1996-11-27
5,1994-11-23,1996-11-27,1996-11-29,1997-11-24
6,1995-11-20,1997-11-24,1997-11-25,1998-11-20
7,1996-11-14,1998-11-20,1998-11-23,1999-11-18
8,1997-11-11,1999-11-18,1999-11-19,2000-11-14
9,1998-11-09,2000-11-14,2000-11-15,2001-11-16
10,1999-11-05,2001-11-16,2001-11-19,2002-11-14
11,2000-11-01,2002-11-14,2002-11-15,2003-11-12
12,2001-11-05,2003-11-12,2003-11-13,2004-11-10
13,2002-11-01,2004-11-10,2004-11-11,2005-11-07
14,2003-10-30,2005-11-07,2005-11-08,2006-11-03
15,2004-10-28,2006-11-03,2006-11-06,2007-11-02
16,2005-10-25,2007-11-02,2007-11-05,2008-10-30
17,2006-10-23,2008-10-30,2008-10-31,2009-10-28
18,2007-10-22,2009-10-28,2009-10-29,2010-10-26
19,2008-10-17,2010-10-26,2010-10-27,2011-10-21
20,2009-10-15,2011-10-21,2011-10-24,2012-10-18
21,2010-10-13,2012-10-18,2012-10-19,2013-10-18
22,2011-10-10,2013-10-18,2013-10-21,2014-10-16
23,2012-10-05,2014-10-16,2014-10-17,2015-10-14
24,2013-10-07,2015-10-14,2015-10-15,2016-10-11
25,2014-10-03,2016-10-11,2016-10-12,2017-10-09
26,2015-10-01,2017-10-09,2017-10-10,2018-10-05
27,2016-09-28,2018-10-05,2018-10-08,2019-10-04
28,2017-09-26,2019-10-04,2019-10-07,2020-10-01
29,2018-09-24,2020-10-01,2020-10-02,2021-09-29
30,2019-09-23,2021-09-29,2021-09-30,2022-09-27
31,2020-09-18,2022-09-27,2022-09-28,2023-09-26
32,2021-09-16,2023-09-26,2023-09-27,2024-09-24
