period,train_start,train_end,test_start,test_end
1,1990-01-02,1992-12-16,1992-12-17,1993-12-13
2,1990-12-27,1993-12-13,1993-12-14,1994-12-08
3,1991-12-23,1994-12-08,1994-12-09,1995-12-05
4,1992-12-17,1995-12-05,1995-12-06,1996-11-29
5,1993-12-14,1996-11-29,1996-12-02,1997-11-25
6,1994-12-09,1997-11-25,1997-11-26,1998-11-23
7,1995-12-06,1998-11-23,1998-11-24,1999-11-19
8,1996-12-02,1999-11-19,1999-11-22,2000-11-15
9,1997-11-26,2000-11-15,2000-11-16,2001-11-19
10,1998-11-24,2001-11-19,2001-11-20,2002-11-15
11,1999-11-22,2002-11-15,2002-11-18,2003-11-13
12,2000-11-16,2003-11-13,2003-11-14,2004-11-11
13,2001-11-20,2004-11-11,2004-11-12,2005-11-08
14,2002-11-18,2005-11-08,2005-11-09,2006-11-06
15,2003-11-14,2006-11-06,2006-11-07,2007-11-05
16,2004-11-12,2007-11-05,2007-11-06,2008-10-31
17,2005-11-09,2008-10-31,2008-11-03,2009-10-29
18,2006-11-07,2009-10-29,2009-10-30,2010-10-27
19,2007-11-06,2010-10-27,2010-10-28,2011-10-24
20,2008-11-03,2011-10-24,2011-10-25,2012-10-19
21,2009-10-30,2012-10-19,2012-10-22,2013-10-21
22,2010-10-28,2013-10-21,2013-10-22,2014-10-17
23,2011-10-25,2014-10-17,2014-10-20,2015-10-15
24,2012-10-22,2015-10-15,2015-10-16,2016-10-12
25,2013-10-22,2016-10-12,2016-10-13,2017-10-10
26,2014-10-20,2017-10-10,2017-10-11,2018-10-08
27,2015-10-16,2018-10-08,2018-10-09,2019-10-07
28,2016-10-13,2019-10-07,2019-10-08,2020-10-02
29,2017-10-11,2020-10-02,2020-10-05,2021-09-30
30,2018-10-09,2021-09-30,2021-10-01,2022-09-28
31,2019-10-08,2022-09-28,2022-09-29,2023-09-27
32,2020-10-05,2023-09-27,2023-09-28,2024-09-25
